Host.h	Host.human	Host.mouse	Host.monkey	Parasite.p	Parasite.Pchabaudi	Parasite.Pvivax	Parasite.Pberghei	Parasite.Pfalciparum	Parasite.Pcoatneyi	Parasite.Pcynomolgi	Parasite.Pyoelii	Weight
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000303	PCHAS_140380	PVX_122010	PBANKA_140190	PF3D7_1303400	PCOAH_00037560	PCYB_141290	PY17X_1403500	4
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	4
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	4
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000065	ENSG00000182208	ENSMUSG00000025147	ENSMMUG00000017450	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000072	ENSG00000133706	ENSMUSG00000024493	ENSMMUG00000029787	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000073	ENSG00000160256	ENSMUSG00000032977	ENSMMUG00000000953	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000073	ENSG00000160256	ENSMUSG00000032977	ENSMMUG00000000953	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000073	ENSG00000160256	ENSMUSG00000032977	ENSMMUG00000000953	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000073	ENSG00000160256	ENSMUSG00000032977	ENSMMUG00000000953	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000079	ENSG00000133027	ENSMUSG00000000301	ENSMMUG00000006495	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000089	ENSG00000173210	ENSMUSG00000032735	ENSMMUG00000021657	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000304	PCHAS_140390	PVX_122015	PBANKA_140200	PF3D7_1303500	PCOAH_00037570	PCYB_141300	PY17X_1403600	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000114	ENSG00000141959	ENSMUSG00000020277	ENSMMUG00000004173	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	4
h_OG0000120	ENSG00000079785	ENSMUSG00000037149	ENSMMUG00000023437	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000127	ENSG00000104442	ENSMUSG00000027599	ENSMMUG00000028974	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	4
h_OG0000135	ENSG00000204316	ENSMUSG00000020775	ENSMMUG00000040816	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000135	ENSG00000204316	ENSMUSG00000020775	ENSMMUG00000040816	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	4
h_OG0000135	ENSG00000204316	ENSMUSG00000020775	ENSMMUG00000040816	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000135	ENSG00000204316	ENSMUSG00000020775	ENSMMUG00000040816	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000135	ENSG00000204316	ENSMUSG00000020775	ENSMMUG00000040816	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	4
h_OG0000135	ENSG00000204316	ENSMUSG00000020775	ENSMMUG00000040816	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	4
h_OG0000135	ENSG00000204316	ENSMUSG00000020775	ENSMMUG00000040816	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000140	ENSG00000169750	ENSMUSG00000018012	ENSMMUG00000010895	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000140	ENSG00000169750	ENSMUSG00000018012	ENSMMUG00000010895	p_OG0000309	PCHAS_140440	PVX_122040	PBANKA_140250	PF3D7_1304000	PCOAH_00037620	PCYB_141350	PY17X_1404100	3
h_OG0000140	ENSG00000169750	ENSMUSG00000018012	ENSMMUG00000010895	p_OG0000327	PCHAS_140660	PVX_122145	PBANKA_140470	PF3D7_1306200	PCOAH_00037840	PCYB_141570	PY17X_1406400	3
h_OG0000140	ENSG00000169750	ENSMUSG00000018012	ENSMMUG00000010895	p_OG0000334	PCHAS_140730	PVX_122180	PBANKA_140540	PF3D7_1306900	PCOAH_00037910	PCYB_141640	PY17X_1407100	3
h_OG0000140	ENSG00000169750	ENSMUSG00000018012	ENSMMUG00000010895	p_OG0000334	PCHAS_140730	PVX_122180	PBANKA_140540	PF3D7_1306900	PCOAH_00037910	PCYB_141640	PY17X_1407100	3
h_OG0000140	ENSG00000169750	ENSMUSG00000018012	ENSMMUG00000010895	p_OG0000334	PCHAS_140730	PVX_122180	PBANKA_140540	PF3D7_1306900	PCOAH_00037910	PCYB_141640	PY17X_1407100	3
h_OG0000149	ENSG00000077458	ENSMUSG00000037808	ENSMMUG00000014792	p_OG0000340	PCHAS_140800	PVX_122210	PBANKA_140610	PF3D7_1307600	PCOAH_00037980	PCYB_141710	PY17X_1407800	3
h_OG0000157	ENSG00000125898	ENSMUSG00000027459	ENSMMUG00000047879	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000157	ENSG00000125898	ENSMUSG00000027459	ENSMMUG00000047879	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000158	ENSG00000136813	ENSMUSG00000050812	ENSMMUG00000016315	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000159	ENSG00000198668	ENSMUSG00000001175	ENSMMUG00000048425	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000160	ENSG00000113492	ENSMUSG00000089678	ENSMMUG00000006301	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000166	ENSG00000130312	ENSMUSG00000034880	ENSMMUG00000009657	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000166	ENSG00000130312	ENSMUSG00000034880	ENSMMUG00000009657	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000166	ENSG00000130312	ENSMUSG00000034880	ENSMMUG00000009657	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000166	ENSG00000130312	ENSMUSG00000034880	ENSMMUG00000009657	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000166	ENSG00000130312	ENSMUSG00000034880	ENSMMUG00000009657	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000173	ENSG00000168291	ENSMUSG00000021748	ENSMMUG00000015672	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000174	ENSG00000185722	ENSMUSG00000020790	ENSMMUG00000019184	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000179	ENSG00000001036	ENSMUSG00000019810	ENSMMUG00000005366	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000182	ENSG00000064726	ENSMUSG00000025103	ENSMMUG00000041714	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000182	ENSG00000064726	ENSMUSG00000025103	ENSMMUG00000041714	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	4
h_OG0000190	ENSG00000090097	ENSMUSG00000023495	ENSMMUG00000022205	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000190	ENSG00000090097	ENSMUSG00000023495	ENSMMUG00000022205	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000190	ENSG00000090097	ENSMUSG00000023495	ENSMMUG00000022205	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000196	ENSG00000122068	ENSMUSG00000022800	ENSMMUG00000048439	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	4
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000200	ENSG00000121775	ENSMUSG00000053730	ENSMMUG00000015650	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000202	ENSG00000167130	ENSMUSG00000026856	ENSMMUG00000032030	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000204	ENSG00000005007	ENSMUSG00000058301	ENSMMUG00000023286	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000204	ENSG00000005007	ENSMUSG00000058301	ENSMMUG00000023286	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000204	ENSG00000005007	ENSMUSG00000058301	ENSMMUG00000023286	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000204	ENSG00000005007	ENSMUSG00000058301	ENSMMUG00000023286	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000204	ENSG00000005007	ENSMUSG00000058301	ENSMMUG00000023286	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000210	ENSG00000138621	ENSMUSG00000063849	ENSMMUG00000018801	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	4
h_OG0000210	ENSG00000138621	ENSMUSG00000063849	ENSMMUG00000018801	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000210	ENSG00000138621	ENSMUSG00000063849	ENSMMUG00000018801	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000210	ENSG00000138621	ENSMUSG00000063849	ENSMMUG00000018801	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000210	ENSG00000138621	ENSMUSG00000063849	ENSMMUG00000018801	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000210	ENSG00000138621	ENSMUSG00000063849	ENSMMUG00000018801	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
h_OG0000210	ENSG00000138621	ENSMUSG00000063849	ENSMMUG00000018801	p_OG0000346	PCHAS_140860	PVX_122240	PBANKA_140670	PF3D7_1308200	PCOAH_00038040	PCYB_141770	PY17X_1408400	3
