"Orthogroup"	"Pchabaudi"	"Pvivax"	"Pberghei"	"Pfalciparum"	"Pcoatneyi"	"Pcynomolgi"	"Pyoelii"
"p_OG0000332"	"PCHAS_140710"	"PVX_122170"	"PBANKA_140520"	"PF3D7_1306700"	"PCOAH_00037890"	"PCYB_141620"	"PY17X_1406900"
"p_OG0000333"	"PCHAS_140720"	"PVX_122175"	"PBANKA_140530"	"PF3D7_1306800"	"PCOAH_00037900"	"PCYB_141630"	"PY17X_1407000"
"p_OG0000334"	"PCHAS_140730"	"PVX_122180"	"PBANKA_140540"	"PF3D7_1306900"	"PCOAH_00037910"	"PCYB_141640"	"PY17X_1407100"
"p_OG0000335"	"PCHAS_140740"	"PVX_122185"	"PBANKA_140550"	"PF3D7_1307000"	"PCOAH_00037920"	"PCYB_141650"	"PY17X_1407200"
"p_OG0000336"	"PCHAS_140750"	"PVX_122190"	"PBANKA_140560"	"PF3D7_1307100"	"PCOAH_00037930"	"PCYB_141660"	"PY17X_1407300"
"p_OG0000337"	"PCHAS_140760"	"PVX_122195"	"PBANKA_140570"	"PF3D7_1307200"	"PCOAH_00037940"	"PCYB_141670"	"PY17X_1407400"
"p_OG0000338"	"PCHAS_140770"	"PVX_122200"	"PBANKA_140580"	"PF3D7_1307300"	"PCOAH_00037950"	"PCYB_141680"	"PY17X_1407500"
"p_OG0000339"	"PCHAS_140780"	"PVX_122205"	"PBANKA_140590"	"PF3D7_1307400"	"PCOAH_00037960"	"PCYB_141690"	"PY17X_1407600"
"p_OG0000340"	"PCHAS_140800"	"PVX_122210"	"PBANKA_140610"	"PF3D7_1307600"	"PCOAH_00037980"	"PCYB_141710"	"PY17X_1407800"
"p_OG0000341"	"PCHAS_140810"	"PVX_122215"	"PBANKA_140620"	"PF3D7_1307700"	"PCOAH_00037990"	"PCYB_141720"	"PY17X_1407900"
"p_OG0000342"	"PCHAS_140820"	"PVX_122220"	"PBANKA_140630"	"PF3D7_1307800"	"PCOAH_00038000"	"PCYB_141730"	"PY17X_1408000"
"p_OG0000343"	"PCHAS_140830"	"PVX_122225"	"PBANKA_140640"	"PF3D7_1307900"	"PCOAH_00038010"	"PCYB_141740"	"PY17X_1408100"
"p_OG0000344"	"PCHAS_140840"	"PVX_122230"	"PBANKA_140650"	"PF3D7_1308000"	"PCOAH_00038020"	"PCYB_141750"	"PY17X_1408200"
"p_OG0000345"	"PCHAS_140850"	"PVX_122235"	"PBANKA_140660"	"PF3D7_1308100"	"PCOAH_00038030"	"PCYB_141760"	"PY17X_1408300"
"p_OG0000346"	"PCHAS_140860"	"PVX_122240"	"PBANKA_140670"	"PF3D7_1308200"	"PCOAH_00038040"	"PCYB_141770"	"PY17X_1408400"
"p_OG0000347"	"PCHAS_140870"	"PVX_122245"	"PBANKA_140680"	"PF3D7_1308300"	"PCOAH_00038050"	"PCYB_141780"	"PY17X_1408500"
"p_OG0000348"	"PCHAS_140880"	"PVX_122250"	"PBANKA_140690"	"PF3D7_1308400"	"PCOAH_00038060"	"PCYB_141790"	"PY17X_1408600"
"p_OG0000349"	"PCHAS_140890"	"PVX_122255"	"PBANKA_140700"	"PF3D7_1308500"	"PCOAH_00038070"	"PCYB_141800"	"PY17X_1408700"
"p_OG0000350"	"PCHAS_140900"	"PVX_122260"	"PBANKA_140710"	"PF3D7_1308600"	"PCOAH_00038080"	"PCYB_141810"	"PY17X_1408800"
"p_OG0000351"	"PCHAS_140910"	"PVX_122265"	"PBANKA_140720"	"PF3D7_1308700"	"PCOAH_00038090"	"PCYB_141820"	"PY17X_1408900"
"p_OG0000352"	"PCHAS_140920"	"PVX_122270"	"PBANKA_140730"	"PF3D7_1308800"	"PCOAH_00038100"	"PCYB_141830"	"PY17X_1409000"
"p_OG0000353"	"PCHAS_140930"	"PVX_122275"	"PBANKA_140740"	"PF3D7_1308900"	"PCOAH_00038110"	"PCYB_141840"	"PY17X_1409100"
"p_OG0000354"	"PCHAS_140940"	"PVX_122280"	"PBANKA_140750"	"PF3D7_1309000"	"PCOAH_00038120"	"PCYB_141850"	"PY17X_1409200"
"p_OG0000355"	"PCHAS_140950"	"PVX_122285"	"PBANKA_140760"	"PF3D7_1309100"	"PCOAH_00038130"	"PCYB_141860"	"PY17X_1409300"
"p_OG0000356"	"PCHAS_140960"	"PVX_122290"	"PBANKA_140770"	"PF3D7_1309200"	"PCOAH_00038140"	"PCYB_141870"	"PY17X_1409500"
"p_OG0000357"	"PCHAS_140970"	"PVX_122295"	"PBANKA_140780"	"PF3D7_1309300"	"PCOAH_00038150"	"PCYB_141880"	"PY17X_1409600"
"p_OG0000358"	"PCHAS_140990"	"PVX_122305"	"PBANKA_140800"	"PF3D7_1309500"	"PCOAH_00038170"	"PCYB_141900"	"PY17X_1409800"
"p_OG0000359"	"PCHAS_141000"	"PVX_122310"	"PBANKA_140810"	"PF3D7_1309600"	"PCOAH_00038180"	"PCYB_141910"	"PY17X_1409900"
"p_OG0000360"	"PCHAS_141010"	"PVX_122315"	"PBANKA_140820"	"PF3D7_1309700"	"PCOAH_00038190"	"PCYB_141920"	"PY17X_1410000"
"p_OG0000361"	"PCHAS_141020"	"PVX_122320"	"PBANKA_140830"	"PF3D7_1309800"	"PCOAH_00038200"	"PCYB_141930"	"PY17X_1410100"
"p_OG0000362"	"PCHAS_141030"	"PVX_122325"	"PBANKA_140840"	"PF3D7_1309900"	"PCOAH_00038210"	"PCYB_141940"	"PY17X_1410200"
"p_OG0000363"	"PCHAS_141040"	"PVX_122330"	"PBANKA_140850"	"PF3D7_1310000"	"PCOAH_00038220"	"PCYB_141950"	"PY17X_1410300"
"p_OG0000364"	"PCHAS_141050"	"PVX_122335"	"PBANKA_140860"	"PF3D7_1310100"	"PCOAH_00038230"	"PCYB_141960"	"PY17X_1410400"
"p_OG0000365"	"PCHAS_141060"	"PVX_122340"	"PBANKA_140870"	"PF3D7_1310200"	"PCOAH_00038240"	"PCYB_141970"	"PY17X_1410500"
"p_OG0000366"	"PCHAS_141070"	"PVX_122345"	"PBANKA_140880"	"PF3D7_1310300"	"PCOAH_00038250"	"PCYB_141980"	"PY17X_1410600"
"p_OG0000367"	"PCHAS_141080"	"PVX_122350"	"PBANKA_140890"	"PF3D7_1310400"	"PCOAH_00038260"	"PCYB_141990"	"PY17X_1410700"
"p_OG0000368"	"PCHAS_141090"	"PVX_122355"	"PBANKA_140900"	"PF3D7_1310500"	"PCOAH_00038270"	"PCYB_142000"	"PY17X_1410800"
"p_OG0000369"	"PCHAS_141100"	"PVX_122360"	"PBANKA_140910"	"PF3D7_1310600"	"PCOAH_00038280"	"PCYB_142010"	"PY17X_1410900"
"p_OG0000370"	"PCHAS_141110"	"PVX_122365"	"PBANKA_140920"	"PF3D7_1310700"	"PCOAH_00038290"	"PCYB_142020"	"PY17X_1411000"
"p_OG0000371"	"PCHAS_141120"	"PVX_122370"	"PBANKA_140930"	"PF3D7_1310800"	"PCOAH_00038300"	"PCYB_142030"	"PY17X_1411100"
"p_OG0000372"	"PCHAS_141130"	"PVX_122375"	"PBANKA_140940"	"PF3D7_1310900"	"PCOAH_00038310"	"PCYB_142040"	"PY17X_1411200"
"p_OG0000373"	"PCHAS_141140"	"PVX_122380"	"PBANKA_140950"	"PF3D7_1311000"	"PCOAH_00038320"	"PCYB_142050"	"PY17X_1411300"
"p_OG0000374"	"PCHAS_141150"	"PVX_122385"	"PBANKA_140960"	"PF3D7_1311100"	"PCOAH_00038330"	"PCYB_142060"	"PY17X_1411400"
"p_OG0000375"	"PCHAS_141160"	"PVX_122390"	"PBANKA_140970"	"PF3D7_1311200"	"PCOAH_00038340"	"PCYB_142070"	"PY17X_1411500"
"p_OG0000376"	"PCHAS_141170"	"PVX_122395"	"PBANKA_140980"	"PF3D7_1311300"	"PCOAH_00038350"	"PCYB_142080"	"PY17X_1411600"
"p_OG0000377"	"PCHAS_141180"	"PVX_122405"	"PBANKA_140990"	"PF3D7_1311400"	"PCOAH_00038360"	"PCYB_142090"	"PY17X_1411700"
"p_OG0000378"	"PCHAS_141190"	"PVX_122410"	"PBANKA_141000"	"PF3D7_1311500"	"PCOAH_00038370"	"PCYB_142100"	"PY17X_1411800"
"p_OG0000379"	"PCHAS_141200"	"PVX_122415"	"PBANKA_141010"	"PF3D7_1311600"	"PCOAH_00038380"	"PCYB_142110"	"PY17X_1411900"
"p_OG0000380"	"PCHAS_141220"	"PVX_122425"	"PBANKA_141030"	"PF3D7_1311800"	"PCOAH_00038420"	"PCYB_142130"	"PY17X_1412100"
"p_OG0000381"	"PCHAS_141230"	"PVX_122430"	"PBANKA_141040"	"PF3D7_1311900"	"PCOAH_00038430"	"PCYB_142140"	"PY17X_1412200"
"p_OG0000382"	"PCHAS_141240"	"PVX_122435"	"PBANKA_141050"	"PF3D7_1312000"	"PCOAH_00038440"	"PCYB_142150"	"PY17X_1412300"
"p_OG0000383"	"PCHAS_141250"	"PVX_122440"	"PBANKA_141060"	"PF3D7_1312100"	"PCOAH_00038450"	"PCYB_142160"	"PY17X_1412400"
"p_OG0000384"	"PCHAS_141260"	"PVX_122445"	"PBANKA_141070"	"PF3D7_1312200"	"PCOAH_00038460"	"PCYB_142170"	"PY17X_1412500"
"p_OG0000385"	"PCHAS_141270"	"PVX_122450"	"PBANKA_141080"	"PF3D7_1312300"	"PCOAH_00038470"	"PCYB_142180"	"PY17X_1412600"
"p_OG0000386"	"PCHAS_141280"	"PVX_122455"	"PBANKA_141090"	"PF3D7_1312400"	"PCOAH_00038480"	"PCYB_142190"	"PY17X_1412700"
"p_OG0000387"	"PCHAS_141300"	"PVX_122460"	"PBANKA_141110"	"PF3D7_1312600"	"PCOAH_00038490"	"PCYB_142210"	"PY17X_1412900"
"p_OG0000388"	"PCHAS_141310"	"PVX_122465"	"PBANKA_141120"	"PF3D7_1312800"	"PCOAH_00038500"	"PCYB_142220"	"PY17X_1413000"
"p_OG0000389"	"PCHAS_141320"	"PVX_122470"	"PBANKA_141130"	"PF3D7_1312900"	"PCOAH_00038510"	"PCYB_142230"	"PY17X_1413100"
"p_OG0000390"	"PCHAS_141340"	"PVX_122480"	"PBANKA_141150"	"PF3D7_1313100"	"PCOAH_00038520"	"PCYB_142250"	"PY17X_1413300"
"p_OG0000391"	"PCHAS_141350"	"PVX_122485"	"PBANKA_141160"	"PF3D7_1313200"	"PCOAH_00038530"	"PCYB_142260"	"PY17X_1413400"
"p_OG0000392"	"PCHAS_141360"	"PVX_122487"	"PBANKA_141170"	"PF3D7_1313300"	"PCOAH_00038540"	"PCYB_142270"	"PY17X_1413500"
"p_OG0000393"	"PCHAS_141370"	"PVX_122490"	"PBANKA_141180"	"PF3D7_1313400"	"PCOAH_00038550"	"PCYB_142280"	"PY17X_1413600"
"p_OG0000394"	"PCHAS_141380"	"PVX_122495"	"PBANKA_141190"	"PF3D7_1313500"	"PCOAH_00038560"	"PCYB_142290"	"PY17X_1413700"
"p_OG0000395"	"PCHAS_141390"	"PVX_122500"	"PBANKA_141200"	"PF3D7_1313600"	"PCOAH_00038570"	"PCYB_142300"	"PY17X_1413800"
"p_OG0000396"	"PCHAS_141400"	"PVX_122505"	"PBANKA_141210"	"PF3D7_1313700"	"PCOAH_00038580"	"PCYB_142310"	"PY17X_1413900"
"p_OG0000397"	"PCHAS_141410"	"PVX_122510"	"PBANKA_141220"	"PF3D7_1313800"	"PCOAH_00038590"	"PCYB_142320"	"PY17X_1414000"
"p_OG0000398"	"PCHAS_141420"	"PVX_122515"	"PBANKA_141230"	"PF3D7_1313900"	"PCOAH_00038600"	"PCYB_142330"	"PY17X_1414100"
"p_OG0000399"	"PCHAS_141430"	"PVX_122520"	"PBANKA_141240"	"PF3D7_1314000"	"PCOAH_00038610"	"PCYB_142340"	"PY17X_1414200"
"p_OG0000400"	"PCHAS_141440"	"PVX_122525"	"PBANKA_141250"	"PF3D7_1314100"	"PCOAH_00038620"	"PCYB_142350"	"PY17X_1414300"
"p_OG0000401"	"PCHAS_141450"	"PVX_122530"	"PBANKA_141260"	"PF3D7_1314200"	"PCOAH_00038630"	"PCYB_142360"	"PY17X_1414400"
"p_OG0000402"	"PCHAS_141460"	"PVX_122535"	"PBANKA_141280"	"PF3D7_1314300"	"PCOAH_00038640"	"PCYB_142370"	"PY17X_1414500"
"p_OG0000403"	"PCHAS_141470"	"PVX_122540"	"PBANKA_141290"	"PF3D7_1314400"	"PCOAH_00038650"	"PCYB_142380"	"PY17X_1414600"
"p_OG0000404"	"PCHAS_141480"	"PVX_122545"	"PBANKA_141300"	"PF3D7_1314500"	"PCOAH_00038660"	"PCYB_142390"	"PY17X_1414700"
"p_OG0000405"	"PCHAS_141490"	"PVX_122550"	"PBANKA_141310"	"PF3D7_1314600"	"PCOAH_00038670"	"PCYB_142400"	"PY17X_1414800"
"p_OG0000406"	"PCHAS_141500"	"PVX_122555"	"PBANKA_141320"	"PF3D7_1314700"	"PCOAH_00038680"	"PCYB_142410"	"PY17X_1414900"
"p_OG0000407"	"PCHAS_141510"	"PVX_122560"	"PBANKA_141330"	"PF3D7_1314800"	"PCOAH_00038690"	"PCYB_142420"	"PY17X_1415000"
"p_OG0000408"	"PCHAS_141520"	"PVX_122565"	"PBANKA_141340"	"PF3D7_1314900"	"PCOAH_00038700"	"PCYB_142430"	"PY17X_1415100"
"p_OG0000409"	"PCHAS_141530"	"PVX_122570"	"PBANKA_141350"	"PF3D7_1315000"	"PCOAH_00038710"	"PCYB_142440"	"PY17X_1415200"
"p_OG0000410"	"PCHAS_141540"	"PVX_122575"	"PBANKA_141360"	"PF3D7_1315100"	"PCOAH_00038720"	"PCYB_142450"	"PY17X_1415300"
"p_OG0000411"	"PCHAS_141550"	"PVX_122580"	"PBANKA_141370"	"PF3D7_1315200"	"PCOAH_00038730"	"PCYB_142460"	"PY17X_1415400"
"p_OG0000412"	"PCHAS_141560"	"PVX_122585"	"PBANKA_141380"	"PF3D7_1315300"	"PCOAH_00038740"	"PCYB_142470"	"PY17X_1415500"
"p_OG0000413"	"PCHAS_141570"	"PVX_122590"	"PBANKA_141390"	"PF3D7_1315400"	"PCOAH_00038750"	"PCYB_142480"	"PY17X_1415600"
"p_OG0000414"	"PCHAS_141580"	"PVX_122600"	"PBANKA_141400"	"PF3D7_1315500"	"PCOAH_00038760"	"PCYB_142490"	"PY17X_1415700"
"p_OG0000415"	"PCHAS_141590"	"PVX_122605"	"PBANKA_141410"	"PF3D7_1315600"	"PCOAH_00038770"	"PCYB_142500"	"PY17X_1415800"
"p_OG0000416"	"PCHAS_141600"	"PVX_122610"	"PBANKA_141420"	"PF3D7_1315700"	"PCOAH_00038780"	"PCYB_142510"	"PY17X_1415900"
"p_OG0000417"	"PCHAS_141610"	"PVX_122615"	"PBANKA_141430"	"PF3D7_1315800"	"PCOAH_00038790"	"PCYB_142520"	"PY17X_1416000"
"p_OG0000418"	"PCHAS_141620"	"PVX_122620"	"PBANKA_141440"	"PF3D7_1315900"	"PCOAH_00038800"	"PCYB_142530"	"PY17X_1416100"
"p_OG0000419"	"PCHAS_141630"	"PVX_122625"	"PBANKA_141450"	"PF3D7_1316000"	"PCOAH_00038810"	"PCYB_142540"	"PY17X_1416200"
"p_OG0000420"	"PCHAS_141640"	"PVX_122630"	"PBANKA_141460"	"PF3D7_1316100"	"PCOAH_00038820"	"PCYB_142550"	"PY17X_1416300"
"p_OG0000421"	"PCHAS_141650"	"PVX_122635"	"PBANKA_141470"	"PF3D7_1316200"	"PCOAH_00038830"	"PCYB_142560"	"PY17X_1416400"
"p_OG0000422"	"PCHAS_141670"	"PVX_122640"	"PBANKA_141490"	"PF3D7_1316400"	"PCOAH_00038850"	"PCYB_142570"	"PY17X_1416600"
"p_OG0000423"	"PCHAS_141680"	"PVX_122645"	"PBANKA_141500"	"PF3D7_1316500"	"PCOAH_00038860"	"PCYB_142580"	"PY17X_1416700"
"p_OG0000424"	"PCHAS_141690"	"PVX_122650"	"PBANKA_141510"	"PF3D7_1316600"	"PCOAH_00038870"	"PCYB_142590"	"PY17X_1416800"
"p_OG0000425"	"PCHAS_141700"	"PVX_122655"	"PBANKA_141520"	"PF3D7_1316700"	"PCOAH_00038880"	"PCYB_142600"	"PY17X_1416900"
"p_OG0000426"	"PCHAS_141710"	"PVX_122660"	"PBANKA_141530"	"PF3D7_1316800"	"PCOAH_00038890"	"PCYB_142610"	"PY17X_1417000"
"p_OG0000427"	"PCHAS_141720"	"PVX_122665"	"PBANKA_141540"	"PF3D7_1316900"	"PCOAH_00038900"	"PCYB_142620"	"PY17X_1417100"
"p_OG0000428"	"PCHAS_141730"	"PVX_122670"	"PBANKA_141550"	"PF3D7_1317000"	"PCOAH_00038910"	"PCYB_142630"	"PY17X_1417200"
"p_OG0000429"	"PCHAS_141740"	"PVX_122675"	"PBANKA_141560"	"PF3D7_1317100"	"PCOAH_00038920"	"PCYB_142640"	"PY17X_1417300"
"p_OG0000430"	"PCHAS_141760"	"PVX_122685"	"PBANKA_141580"	"PF3D7_1317300"	"PCOAH_00038940"	"PCYB_142660"	"PY17X_1417500"
"p_OG0000431"	"PCHAS_141770"	"PVX_122690"	"PBANKA_141590"	"PF3D7_1317400"	"PCOAH_00038950"	"PCYB_142670"	"PY17X_1417600"
"p_OG0000432"	"PCHAS_141780"	"PVX_122695"	"PBANKA_141600"	"PF3D7_1317500"	"PCOAH_00038960"	"PCYB_142680"	"PY17X_1417700"
"p_OG0000433"	"PCHAS_141790"	"PVX_122700"	"PBANKA_141610"	"PF3D7_1317600"	"PCOAH_00038970"	"PCYB_142690"	"PY17X_1417800"
"p_OG0000434"	"PCHAS_141800"	"PVX_122705"	"PBANKA_141620"	"PF3D7_1317700"	"PCOAH_00038980"	"PCYB_142700"	"PY17X_1417900"
"p_OG0000435"	"PCHAS_141810"	"PVX_122710"	"PBANKA_141630"	"PF3D7_1317800"	"PCOAH_00038990"	"PCYB_142710"	"PY17X_1418000"
"p_OG0000436"	"PCHAS_141820"	"PVX_122715"	"PBANKA_141640"	"PF3D7_1317900"	"PCOAH_00039000"	"PCYB_142720"	"PY17X_1418100"
"p_OG0000437"	"PCHAS_141830"	"PVX_122720"	"PBANKA_141650"	"PF3D7_1318000"	"PCOAH_00039010"	"PCYB_142730"	"PY17X_1418200"
"p_OG0000438"	"PCHAS_141840"	"PVX_122725"	"PBANKA_141660"	"PF3D7_1318100"	"PCOAH_00039020"	"PCYB_142740"	"PY17X_1418300"
"p_OG0000439"	"PCHAS_141850"	"PVX_122730"	"PBANKA_141670"	"PF3D7_1318200"	"PCOAH_00039030"	"PCYB_142750"	"PY17X_1418400"
"p_OG0000440"	"PCHAS_141860"	"PVX_122735"	"PBANKA_141680"	"PF3D7_1318300"	"PCOAH_00039040"	"PCYB_142760"	"PY17X_1418500"
"p_OG0000441"	"PCHAS_141870"	"PVX_122740"	"PBANKA_141690"	"PF3D7_1318400"	"PCOAH_00039060"	"PCYB_142770"	"PY17X_1418600"
"p_OG0000442"	"PCHAS_141890"	"PVX_122745"	"PBANKA_141710"	"PF3D7_1318600"	"PCOAH_00039070"	"PCYB_142780"	"PY17X_1418800"
"p_OG0000443"	"PCHAS_141900"	"PVX_122750"	"PBANKA_141720"	"PF3D7_1318700"	"PCOAH_00039080"	"PCYB_142790"	"PY17X_1418900"
"p_OG0000444"	"PCHAS_141910"	"PVX_122755"	"PBANKA_141730"	"PF3D7_1318800"	"PCOAH_00039090"	"PCYB_142800"	"PY17X_1419000"
"p_OG0000445"	"PCHAS_141920"	"PVX_122760"	"PBANKA_141740"	"PF3D7_1318900"	"PCOAH_00039100"	"PCYB_142810"	"PY17X_1419100"
"p_OG0000446"	"PCHAS_141930"	"PVX_122765"	"PBANKA_141750"	"PF3D7_1319000"	"PCOAH_00039110"	"PCYB_142820"	"PY17X_1419200"
"p_OG0000447"	"PCHAS_141940"	"PVX_122770"	"PBANKA_141760"	"PF3D7_1319100"	"PCOAH_00039120"	"PCYB_142830"	"PY17X_1419300"
"p_OG0000448"	"PCHAS_141950"	"PVX_122775"	"PBANKA_141770"	"PF3D7_1319200"	"PCOAH_00039130"	"PCYB_142840"	"PY17X_1419400"
"p_OG0000449"	"PCHAS_141960"	"PVX_122780"	"PBANKA_141780"	"PF3D7_1319300"	"PCOAH_00039140"	"PCYB_142850"	"PY17X_1419500"
"p_OG0000450"	"PCHAS_141970"	"PVX_122785"	"PBANKA_141790"	"PF3D7_1319400"	"PCOAH_00039150"	"PCYB_142860"	"PY17X_1419600"
"p_OG0000451"	"PCHAS_141980"	"PVX_122790"	"PBANKA_141800"	"PF3D7_1319500"	"PCOAH_00039160"	"PCYB_142870"	"PY17X_1419700"
"p_OG0000452"	"PCHAS_141990"	"PVX_122795"	"PBANKA_141810"	"PF3D7_1319600"	"PCOAH_00039170"	"PCYB_142880"	"PY17X_1419800"
"p_OG0000453"	"PCHAS_142000"	"PVX_122800"	"PBANKA_141820"	"PF3D7_1319700"	"PCOAH_00039180"	"PCYB_142890"	"PY17X_1419900"
