"Orthogroup"	"human"	"mouse"	"monkey"
"h_OG0000038"	"ENSG00000127528"	"ENSMUSG00000055148"	"ENSMMUG00000028855"
"h_OG0000039"	"ENSG00000157087"	"ENSMUSG00000030302"	"ENSMMUG00000019938"
"h_OG0000040"	"ENSG00000102468"	"ENSMUSG00000034997"	"ENSMMUG00000004210"
"h_OG0000041"	"ENSG00000081138"	"ENSMUSG00000026312"	"ENSMMUG00000000576"
"h_OG0000042"	"ENSG00000137825"	"ENSMUSG00000027296"	"ENSMMUG00000008169"
"h_OG0000043"	"ENSG00000198690"	"ENSMUSG00000033458"	"ENSMMUG00000009426"
"h_OG0000044"	"ENSG00000180011"	"ENSMUSG00000049090"	"ENSMMUG00000014915"
"h_OG0000045"	"ENSG00000124813"	"ENSMUSG00000039153"	"ENSMMUG00000019819"
"h_OG0000046"	"ENSG00000169752"	"ENSMUSG00000032311"	"ENSMMUG00000020882"
"h_OG0000047"	"ENSG00000186687"	"ENSMUSG00000020268"	"ENSMMUG00000017068"
"h_OG0000048"	"ENSG00000065325"	"ENSMUSG00000049928"	"ENSMMUG00000018090"
"h_OG0000049"	"ENSG00000166979"	"ENSMUSG00000039903"	"ENSMMUG00000048824"
"h_OG0000050"	"ENSG00000196284"	"ENSMUSG00000038954"	"ENSMMUG00000021377"
"h_OG0000051"	"ENSG00000164078"	"ENSMUSG00000032584"	"ENSMMUG00000003353"
"h_OG0000052"	"ENSG00000121743"	"ENSMUSG00000048582"	"ENSMMUG00000046677"
"h_OG0000053"	"ENSG00000113407"	"ENSMUSG00000022241"	"ENSMMUG00000016224"
"h_OG0000054"	"ENSG00000100298"	"ENSMUSG00000009585"	"ENSMMUG00000001016"
"h_OG0000055"	"ENSG00000234602"	"ENSMUSG00000074651"	"ENSMMUG00000030102"
"h_OG0000056"	"ENSG00000113361"	"ENSMUSG00000039385"	"ENSMMUG00000000712"
"h_OG0000057"	"ENSG00000186106"	"ENSMUSG00000048307"	"ENSMMUG00000009958"
"h_OG0000058"	"ENSG00000100299"	"ENSMUSG00000022620"	"ENSMMUG00000016274"
"h_OG0000059"	"ENSG00000073417"	"ENSMUSG00000025584"	"ENSMMUG00000019838"
"h_OG0000060"	"ENSG00000031823"	"ENSMUSG00000002372"	"ENSMMUG00000011964"
"h_OG0000061"	"ENSG00000136574"	"ENSMUSG00000021944"	"ENSMMUG00000019208"
"h_OG0000062"	"ENSG00000157500"	"ENSMUSG00000040760"	"ENSMMUG00000039085"
"h_OG0000063"	"ENSG00000113761"	"ENSMUSG00000021481"	"ENSMMUG00000011033"
"h_OG0000064"	"ENSG00000103855"	"ENSMUSG00000035914"	"ENSMMUG00000005448"
"h_OG0000065"	"ENSG00000182208"	"ENSMUSG00000025147"	"ENSMMUG00000017450"
"h_OG0000066"	"ENSG00000125255"	"ENSMUSG00000023073"	"ENSMMUG00000007664"
"h_OG0000067"	"ENSG00000277586"	"ENSMUSG00000022055"	"ENSMMUG00000003348"
"h_OG0000068"	"ENSG00000165474"	"ENSMUSG00000046352"	"ENSMMUG00000010522"
"h_OG0000069"	"ENSG00000100280"	"ENSMUSG00000009090"	"ENSMMUG00000021380"
"h_OG0000070"	"ENSG00000171189"	"ENSMUSG00000022935"	"ENSMMUG00000004886"
"h_OG0000071"	"ENSG00000164077"	"ENSMUSG00000032583"	"ENSMMUG00000031811"
"h_OG0000072"	"ENSG00000133706"	"ENSMUSG00000024493"	"ENSMMUG00000029787"
"h_OG0000073"	"ENSG00000160256"	"ENSMUSG00000032977"	"ENSMMUG00000000953"
"h_OG0000074"	"ENSG00000152669"	"ENSMUSG00000042417"	"ENSMMUG00000010372"
"h_OG0000075"	"ENSG00000100307"	"ENSMUSG00000053411"	"ENSMMUG00000007845"
"h_OG0000076"	"ENSG00000196689"	"ENSMUSG00000005952"	"ENSMMUG00000000711"
"h_OG0000077"	"ENSG00000067248"	"ENSMUSG00000042426"	"ENSMMUG00000010376"
"h_OG0000078"	"ENSG00000239388"	"ENSMUSG00000021898"	"ENSMMUG00000021008"
"h_OG0000079"	"ENSG00000133027"	"ENSMUSG00000000301"	"ENSMMUG00000006495"
"h_OG0000080"	"ENSG00000179981"	"ENSMUSG00000046982"	"ENSMMUG00000014916"
"h_OG0000081"	"ENSG00000167202"	"ENSMUSG00000037410"	"ENSMMUG00000009907"
"h_OG0000082"	"ENSG00000171136"	"ENSMUSG00000045232"	"ENSMMUG00000013537"
"h_OG0000083"	"ENSG00000176102"	"ENSMUSG00000027176"	"ENSMMUG00000002542"
"h_OG0000084"	"ENSG00000160145"	"ENSMUSG00000061751"	"ENSMMUG00000003851"
"h_OG0000085"	"ENSG00000131473"	"ENSMUSG00000020917"	"ENSMMUG00000018931"
"h_OG0000086"	"ENSG00000176148"	"ENSMUSG00000027175"	"ENSMMUG00000002539"
"h_OG0000087"	"ENSG00000071991"	"ENSMUSG00000047216"	"ENSMMUG00000013529"
"h_OG0000088"	"ENSG00000114854"	"ENSMUSG00000091898"	"ENSMMUG00000005618"
"h_OG0000089"	"ENSG00000173210"	"ENSMUSG00000032735"	"ENSMMUG00000021657"
"h_OG0000090"	"ENSG00000133816"	"ENSMUSG00000038244"	"ENSMMUG00000020953"
"h_OG0000091"	"ENSG00000173261"	"ENSMUSG00000059455"	"ENSMMUG00000006551"
"h_OG0000092"	"ENSG00000156273"	"ENSMUSG00000025612"	"ENSMMUG00000011095"
"h_OG0000093"	"ENSG00000150510"	"ENSMUSG00000035184"	"ENSMMUG00000001480"
"h_OG0000094"	"ENSG00000173597"	"ENSMUSG00000029269"	"ENSMMUG00000006538"
"h_OG0000095"	"ENSG00000244754"	"ENSMUSG00000029655"	"ENSMMUG00000007200"
"h_OG0000096"	"ENSG00000172936"	"ENSMUSG00000032508"	"ENSMMUG00000000995"
"h_OG0000097"	"ENSG00000154767"	"ENSMUSG00000030094"	"ENSMMUG00000023125"
"h_OG0000098"	"ENSG00000206190"	"ENSMUSG00000025324"	"ENSMMUG00000048116"
"h_OG0000099"	"ENSG00000284797"	"ENSMUSG00000095026"	"ENSMMUG00000045498"
"h_OG0000100"	"ENSG00000160285"	"ENSMUSG00000033105"	"ENSMMUG00000022329"
"h_OG0000101"	"ENSG00000198792"	"ENSMUSG00000009035"	"ENSMMUG00000019390"
"h_OG0000102"	"ENSG00000167113"	"ENSMUSG00000026798"	"ENSMMUG00000031892"
"h_OG0000103"	"ENSG00000204564"	"ENSMUSG00000050705"	"ENSMMUG00000019959"
"h_OG0000104"	"ENSG00000166387"	"ENSMUSG00000036528"	"ENSMMUG00000019751"
"h_OG0000105"	"ENSG00000104231"	"ENSMUSG00000039795"	"ENSMMUG00000002626"
"h_OG0000106"	"ENSG00000164047"	"ENSMUSG00000038357"	"ENSMMUG00000010655"
"h_OG0000107"	"ENSG00000162493"	"ENSMUSG00000028583"	"ENSMMUG00000000145"
"h_OG0000108"	"ENSG00000139597"	"ENSMUSG00000041132"	"ENSMMUG00000007198"
"h_OG0000109"	"ENSG00000148677"	"ENSMUSG00000024803"	"ENSMMUG00000006632"
"h_OG0000110"	"ENSG00000091656"	"ENSMUSG00000025255"	"ENSMMUG00000019414"
"h_OG0000111"	"ENSG00000184378"	"ENSMUSG00000037737"	"ENSMMUG00000021874"
"h_OG0000112"	"ENSG00000167711"	"ENSMUSG00000038224"	"ENSMMUG00000002382"
"h_OG0000113"	"ENSG00000146085"	"ENSMUSG00000023921"	"ENSMMUG00000002458"
"h_OG0000114"	"ENSG00000141959"	"ENSMUSG00000020277"	"ENSMMUG00000004173"
"h_OG0000115"	"ENSG00000173960"	"ENSMUSG00000020634"	"ENSMMUG00000006487"
"h_OG0000116"	"ENSG00000112576"	"ENSMUSG00000034165"	"ENSMMUG00000004419"
"h_OG0000117"	"ENSG00000170876"	"ENSMUSG00000030095"	"ENSMMUG00000023124"
"h_OG0000118"	"ENSG00000204560"	"ENSMUSG00000024422"	"ENSMMUG00000019960"
"h_OG0000119"	"ENSG00000149798"	"ENSMUSG00000045664"	"ENSMMUG00000012316"
"h_OG0000120"	"ENSG00000079785"	"ENSMUSG00000037149"	"ENSMMUG00000023437"
"h_OG0000121"	"ENSG00000184009"	"ENSMUSG00000062825"	"ENSMMUG00000012054"
"h_OG0000122"	"ENSG00000101017"	"ENSMUSG00000017652"	"ENSMMUG00000003683"
"h_OG0000123"	"ENSG00000205795"	"ENSMUSG00000062563"	"ENSMMUG00000030941"
"h_OG0000124"	"ENSG00000137261"	"ENSMUSG00000006711"	"ENSMMUG00000019364"
"h_OG0000125"	"ENSG00000137274"	"ENSMUSG00000038286"	"ENSMMUG00000008483"
"h_OG0000126"	"ENSG00000162949"	"ENSMUSG00000043705"	"ENSMMUG00000003473"
"h_OG0000127"	"ENSG00000104442"	"ENSMUSG00000027599"	"ENSMMUG00000028974"
"h_OG0000128"	"ENSG00000134121"	"ENSMUSG00000030077"	"ENSMMUG00000001349"
"h_OG0000129"	"ENSG00000119684"	"ENSMUSG00000021245"	"ENSMMUG00000002911"
"h_OG0000130"	"ENSG00000068028"	"ENSMUSG00000010067"	"ENSMMUG00000006996"
"h_OG0000131"	"ENSG00000078674"	"ENSMUSG00000031592"	"ENSMMUG00000015487"
"h_OG0000132"	"ENSG00000118492"	"ENSMUSG00000050994"	"ENSMMUG00000013791"
"h_OG0000133"	"ENSG00000130700"	"ENSMUSG00000015627"	"ENSMMUG00000017584"
"h_OG0000134"	"ENSG00000112902"	"ENSMUSG00000022231"	"ENSMMUG00000020160"
"h_OG0000135"	"ENSG00000204316"	"ENSMUSG00000020775"	"ENSMMUG00000040816"
"h_OG0000136"	"ENSG00000126778"	"ENSMUSG00000051367"	"ENSMMUG00000018507"
"h_OG0000137"	"ENSG00000157510"	"ENSMUSG00000033032"	"ENSMMUG00000021660"
"h_OG0000138"	"ENSG00000099622"	"ENSMUSG00000045193"	"ENSMMUG00000022101"
"h_OG0000139"	"ENSG00000102606"	"ENSMUSG00000031511"	"ENSMMUG00000013138"
"h_OG0000140"	"ENSG00000169750"	"ENSMUSG00000018012"	"ENSMMUG00000010895"
"h_OG0000141"	"ENSG00000109861"	"ENSMUSG00000030560"	"ENSMMUG00000022139"
"h_OG0000142"	"ENSG00000104998"	"ENSMUSG00000005465"	"ENSMMUG00000013538"
"h_OG0000143"	"ENSG00000173253"	"ENSMUSG00000048138"	"ENSMMUG00000014844"
"h_OG0000144"	"ENSG00000180611"	"ENSMUSG00000051065"	"ENSMMUG00000042245"
"h_OG0000145"	"ENSG00000036448"	"ENSMUSG00000031461"	"ENSMMUG00000023408"
"h_OG0000146"	"ENSG00000184545"	"ENSMUSG00000037887"	"ENSMMUG00000023132"
"h_OG0000147"	"ENSG00000169609"	"ENSMUSG00000025102"	"ENSMMUG00000015890"
"h_OG0000148"	"ENSG00000011275"	"ENSMUSG00000045078"	"ENSMMUG00000000182"
"h_OG0000149"	"ENSG00000077458"	"ENSMUSG00000037808"	"ENSMMUG00000014792"
"h_OG0000150"	"ENSG00000134490"	"ENSMUSG00000049411"	"ENSMMUG00000032559"
"h_OG0000151"	"ENSG00000065268"	"ENSMUSG00000035754"	"ENSMMUG00000002638"
"h_OG0000152"	"ENSG00000112218"	"ENSMUSG00000040372"	"ENSMMUG00000045116"
"h_OG0000153"	"ENSG00000188878"	"ENSMUSG00000020776"	"ENSMMUG00000016775"
"h_OG0000154"	"ENSG00000088854"	"ENSMUSG00000027309"	"ENSMMUG00000017467"
"h_OG0000155"	"ENSG00000123545"	"ENSMUSG00000028261"	"ENSMMUG00000018843"
"h_OG0000156"	"ENSG00000187867"	"ENSMUSG00000047986"	"ENSMMUG00000013539"
"h_OG0000157"	"ENSG00000125898"	"ENSMUSG00000027459"	"ENSMMUG00000047879"
"h_OG0000158"	"ENSG00000136813"	"ENSMUSG00000050812"	"ENSMMUG00000016315"
"h_OG0000159"	"ENSG00000198668"	"ENSMUSG00000001175"	"ENSMMUG00000048425"
"h_OG0000160"	"ENSG00000113492"	"ENSMUSG00000089678"	"ENSMMUG00000006301"
"h_OG0000161"	"ENSG00000103942"	"ENSMUSG00000025813"	"ENSMMUG00000008297"
"h_OG0000162"	"ENSG00000132429"	"ENSMUSG00000019848"	"ENSMMUG00000014473"
"h_OG0000163"	"ENSG00000253309"	"ENSMUSG00000091155"	"ENSMMUG00000013190"
"h_OG0000164"	"ENSG00000145982"	"ENSMUSG00000021420"	"ENSMMUG00000016352"
"h_OG0000165"	"ENSG00000034693"	"ENSMUSG00000019809"	"ENSMMUG00000005365"
"h_OG0000166"	"ENSG00000130312"	"ENSMUSG00000034880"	"ENSMMUG00000009657"
"h_OG0000167"	"ENSG00000112276"	"ENSMUSG00000071317"	"ENSMMUG00000014471"
"h_OG0000168"	"ENSG00000180628"	"ENSMUSG00000024805"	"ENSMMUG00000038018"
"h_OG0000169"	"ENSG00000153879"	"ENSMUSG00000056216"	"ENSMMUG00000006127"
"h_OG0000170"	"ENSG00000102786"	"ENSMUSG00000035161"	"ENSMMUG00000013191"
"h_OG0000171"	"ENSG00000092200"	"ENSMUSG00000057132"	"ENSMMUG00000021552"
"h_OG0000172"	"ENSG00000141854"	"ENSMUSG00000074217"	"ENSMMUG00000042544"
"h_OG0000173"	"ENSG00000168291"	"ENSMUSG00000021748"	"ENSMMUG00000015672"
"h_OG0000174"	"ENSG00000185722"	"ENSMUSG00000020790"	"ENSMMUG00000019184"
"h_OG0000175"	"ENSG00000130311"	"ENSMUSG00000074247"	"ENSMMUG00000016231"
"h_OG0000176"	"ENSG00000085274"	"ENSMUSG00000037730"	"ENSMMUG00000021875"
"h_OG0000177"	"ENSG00000145016"	"ENSMUSG00000035629"	"ENSMMUG00000006623"
"h_OG0000178"	"ENSG00000166037"	"ENSMUSG00000031922"	"ENSMMUG00000014796"
"h_OG0000179"	"ENSG00000001036"	"ENSMUSG00000019810"	"ENSMMUG00000005366"
"h_OG0000180"	"ENSG00000138801"	"ENSMUSG00000028032"	"ENSMMUG00000019907"
"h_OG0000181"	"ENSG00000188779"	"ENSMUSG00000022245"	"ENSMMUG00000014485"
"h_OG0000182"	"ENSG00000064726"	"ENSMUSG00000025103"	"ENSMMUG00000041714"
"h_OG0000183"	"ENSG00000074855"	"ENSMUSG00000034863"	"ENSMMUG00000016232"
"h_OG0000184"	"ENSG00000090402"	"ENSMUSG00000027790"	"ENSMMUG00000001302"
"h_OG0000185"	"ENSG00000120533"	"ENSMUSG00000022338"	"ENSMMUG00000006104"
"h_OG0000186"	"ENSG00000205111"	"ENSMUSG00000033966"	"ENSMMUG00000011006"
"h_OG0000187"	"ENSG00000181856"	"ENSMUSG00000018566"	"ENSMMUG00000022709"
"h_OG0000188"	"ENSG00000141934"	"ENSMUSG00000052151"	"ENSMMUG00000023716"
"h_OG0000189"	"ENSG00000278053"	"ENSMUSG00000020677"	"ENSMMUG00000002980"
"h_OG0000190"	"ENSG00000090097"	"ENSMUSG00000023495"	"ENSMMUG00000022205"
"h_OG0000191"	"ENSG00000172113"	"ENSMUSG00000032478"	"ENSMMUG00000003078"
"h_OG0000192"	"ENSG00000213889"	"ENSMUSG00000030402"	"ENSMMUG00000011715"
"h_OG0000193"	"ENSG00000184060"	"ENSMUSG00000020709"	"ENSMMUG00000009077"
"h_OG0000194"	"ENSG00000158985"	"ENSMUSG00000052298"	"ENSMMUG00000047956"
"h_OG0000195"	"ENSG00000133101"	"ENSMUSG00000027793"	"ENSMMUG00000001178"
"h_OG0000196"	"ENSG00000122068"	"ENSMUSG00000022800"	"ENSMMUG00000048439"
"h_OG0000197"	"ENSG00000168811"	"ENSMUSG00000027776"	"ENSMMUG00000023084"
"h_OG0000198"	"ENSG00000165338"	"ENSMUSG00000041180"	"ENSMMUG00000000238"
"h_OG0000199"	"ENSG00000164695"	"ENSMUSG00000027536"	"ENSMMUG00000002625"
"h_OG0000200"	"ENSG00000121775"	"ENSMUSG00000053730"	"ENSMMUG00000015650"
"h_OG0000201"	"ENSG00000180305"	"ENSMUSG00000070529"	"ENSMMUG00000003803"
"h_OG0000202"	"ENSG00000167130"	"ENSMUSG00000026856"	"ENSMMUG00000032030"
"h_OG0000203"	"ENSG00000171451"	"ENSMUSG00000038702"	"ENSMMUG00000042864"
"h_OG0000204"	"ENSG00000005007"	"ENSMUSG00000058301"	"ENSMMUG00000023286"
"h_OG0000205"	"ENSG00000121742"	"ENSMUSG00000040055"	"ENSMMUG00000023295"
"h_OG0000206"	"ENSG00000148735"	"ENSMUSG00000035818"	"ENSMMUG00000001218"
"h_OG0000207"	"ENSG00000272636"	"ENSMUSG00000020848"	"ENSMMUG00000005222"
"h_OG0000208"	"ENSG00000125744"	"ENSMUSG00000030401"	"ENSMMUG00000011716"
"h_OG0000209"	"ENSG00000167740"	"ENSMUSG00000057778"	"ENSMMUG00000042657"
"h_OG0000210"	"ENSG00000138621"	"ENSMUSG00000063849"	"ENSMMUG00000018801"
"h_OG0000211"	"ENSG00000134508"	"ENSMUSG00000040957"	"ENSMMUG00000005125"
"h_OG0000212"	"ENSG00000130772"	"ENSMUSG00000066042"	"ENSMMUG00000010353"
"h_OG0000213"	"ENSG00000101361"	"ENSMUSG00000027405"	"ENSMMUG00000013888"
"h_OG0000214"	"ENSG00000197587"	"ENSMUSG00000028707"	"ENSMMUG00000014634"
"h_OG0000215"	"ENSG00000134962"	"ENSMUSG00000029195"	"ENSMMUG00000008834"
"h_OG0000216"	"ENSG00000077943"	"ENSMUSG00000026768"	"ENSMMUG00000011661"
"h_OG0000217"	"ENSG00000105472"	"ENSMUSG00000004473"	"ENSMMUG00000002407"
"h_OG0000218"	"ENSG00000258644"	"ENSMUSG00000021139"	"ENSMMUG00000011089"
"h_OG0000219"	"ENSG00000096968"	"ENSMUSG00000024789"	"ENSMMUG00000014558"
"h_OG0000220"	"ENSG00000142949"	"ENSMUSG00000033295"	"ENSMMUG00000012477"
"h_OG0000221"	"ENSG00000112964"	"ENSMUSG00000055737"	"ENSMMUG00000001336"
"h_OG0000222"	"ENSG00000166483"	"ENSMUSG00000031016"	"ENSMMUG00000008759"
"h_OG0000223"	"ENSG00000121774"	"ENSMUSG00000028790"	"ENSMMUG00000023438"
"h_OG0000224"	"ENSG00000126777"	"ENSMUSG00000021843"	"ENSMMUG00000006650"
"h_OG0000225"	"ENSG00000101280"	"ENSMUSG00000027460"	"ENSMMUG00000000270"
"h_OG0000226"	"ENSG00000214595"	"ENSMUSG00000044072"	"ENSMMUG00000021296"
"h_OG0000227"	"ENSG00000020426"	"ENSMUSG00000021103"	"ENSMMUG00000001642"
"h_OG0000228"	"ENSG00000007312"	"ENSMUSG00000040592"	"ENSMMUG00000041327"
"h_OG0000229"	"ENSG00000160867"	"ENSMUSG00000005320"	"ENSMMUG00000004919"
"h_OG0000230"	"ENSG00000188032"	"ENSMUSG00000046408"	"ENSMMUG00000045865"
"h_OG0000231"	"ENSG00000124523"	"ENSMUSG00000054021"	"ENSMMUG00000008678"
"h_OG0000232"	"ENSG00000213937"	"ENSMUSG00000066720"	"ENSMMUG00000041201"
"h_OG0000233"	"ENSG00000185519"	"ENSMUSG00000006218"	"ENSMMUG00000018243"
"h_OG0000234"	"ENSG00000109047"	"ENSMUSG00000020907"	"ENSMMUG00000041092"
"h_OG0000235"	"ENSG00000159216"	"ENSMUSG00000022952"	"ENSMMUG00000001649"
"h_OG0000236"	"ENSG00000140545"	"ENSMUSG00000030605"	"ENSMMUG00000043001"
"h_OG0000237"	"ENSG00000189001"	"ENSMUSG00000046056"	"ENSMMUG00000000836"
"h_OG0000238"	"ENSG00000197724"	"ENSMUSG00000038025"	"ENSMMUG00000008281"
"h_OG0000239"	"ENSG00000107147"	"ENSMUSG00000058740"	"ENSMMUG00000021496"
"h_OG0000240"	"ENSG00000175600"	"ENSMUSG00000055137"	"ENSMMUG00000001702"
"h_OG0000241"	"ENSG00000184697"	"ENSMUSG00000023906"	"ENSMMUG00000003094"
"h_OG0000242"	"ENSG00000120708"	"ENSMUSG00000035493"	"ENSMMUG00000000332"
"h_OG0000243"	"ENSG00000205639"	"ENSMUSG00000037336"	"ENSMMUG00000012337"
"h_OG0000244"	"ENSG00000110675"	"ENSMUSG00000041986"	"ENSMMUG00000005440"
"h_OG0000245"	"ENSG00000242612"	"ENSMUSG00000036775"	"ENSMMUG00000008522"
"h_OG0000246"	"ENSG00000108786"	"ENSMUSG00000019301"	"ENSMMUG00000009884"
"h_OG0000247"	"ENSG00000132386"	"ENSMUSG00000000753"	"ENSMMUG00000022194"
"h_OG0000248"	"ENSG00000101493"	"ENSMUSG00000058881"	"ENSMMUG00000017408"
"h_OG0000249"	"ENSG00000126814"	"ENSMUSG00000034442"	"ENSMMUG00000013611"
"h_OG0000250"	"ENSG00000163602"	"ENSMUSG00000072872"	"ENSMMUG00000042444"
"h_OG0000251"	"ENSG00000214944"	"ENSMUSG00000021662"	"ENSMMUG00000017897"
"h_OG0000252"	"ENSG00000139974"	"ENSMUSG00000044712"	"ENSMMUG00000013612"
"h_OG0000253"	"ENSG00000119782"	"ENSMUSG00000020635"	"ENSMMUG00000046106"
"h_OG0000254"	"ENSG00000092345"	"ENSMUSG00000010592"	"ENSMMUG00000011361"
"h_OG0000255"	"ENSG00000152520"	"ENSMUSG00000029647"	"ENSMMUG00000022522"
"h_OG0000256"	"ENSG00000068120"	"ENSMUSG00000001755"	"ENSMMUG00000009886"
"h_OG0000257"	"ENSG00000101187"	"ENSMUSG00000038963"	"ENSMMUG00000016848"
"h_OG0000258"	"ENSG00000111845"	"ENSMUSG00000038683"	"ENSMMUG00000018787"
"h_OG0000259"	"ENSG00000180440"	"ENSMUSG00000056306"	"ENSMMUG00000045732"
"h_OG0000260"	"ENSG00000164074"	"ENSMUSG00000037818"	"ENSMMUG00000020931"
"h_OG0000261"	"ENSG00000166938"	"ENSMUSG00000032396"	"ENSMMUG00000003693"
"h_OG0000262"	"ENSG00000136213"	"ENSMUSG00000036599"	"ENSMMUG00000006475"
"h_OG0000263"	"ENSG00000072954"	"ENSMUSG00000031791"	"ENSMMUG00000041930"
"h_OG0000264"	"ENSG00000111802"	"ENSMUSG00000035958"	"ENSMMUG00000009803"
"h_OG0000265"	"ENSG00000112146"	"ENSMUSG00000001366"	"ENSMMUG00000005340"
"h_OG0000266"	"ENSG00000166734"	"ENSMUSG00000060227"	"ENSMMUG00000006676"
"h_OG0000267"	"ENSG00000275572"	"ENSMUSG00000036586"	"ENSMMUG00000019181"
"h_OG0000268"	"ENSG00000184730"	"ENSMUSG00000042759"	"ENSMMUG00000000707"
"h_OG0000269"	"ENSG00000013306"	"ENSMUSG00000018677"	"ENSMMUG00000017944"
"h_OG0000270"	"ENSG00000163026"	"ENSMUSG00000051721"	"ENSMMUG00000012340"
"h_OG0000271"	"ENSG00000107882"	"ENSMUSG00000025231"	"ENSMMUG00000004396"
"h_OG0000272"	"ENSG00000205363"	"ENSMUSG00000066607"	"ENSMMUG00000038117"
"h_OG0000273"	"ENSG00000104388"	"ENSMUSG00000047187"	"ENSMMUG00000017038"
"h_OG0000274"	"ENSG00000128881"	"ENSMUSG00000090100"	"ENSMMUG00000010036"
"h_OG0000275"	"ENSG00000164073"	"ENSMUSG00000025759"	"ENSMMUG00000022751"
"h_OG0000276"	"ENSG00000166922"	"ENSMUSG00000023236"	"ENSMMUG00000012283"
"h_OG0000277"	"ENSG00000105556"	"ENSMUSG00000042570"	"ENSMMUG00000023717"
"h_OG0000278"	"ENSG00000099991"	"ENSMUSG00000020196"	"ENSMMUG00000020992"
"h_OG0000279"	"ENSG00000108784"	"ENSMUSG00000001751"	"ENSMMUG00000009376"
"h_OG0000280"	"ENSG00000127249"	"ENSMUSG00000038094"	"ENSMMUG00000009764"
"h_OG0000281"	"ENSG00000189139"	"ENSMUSG00000043060"	"ENSMMUG00000011876"
"h_OG0000282"	"ENSG00000103202"	"ENSMUSG00000024177"	"ENSMMUG00000000612"
"h_OG0000283"	"ENSG00000070526"	"ENSMUSG00000009588"	"ENSMMUG00000022408"
"h_OG0000284"	"ENSG00000163513"	"ENSMUSG00000032440"	"ENSMMUG00000010031"
